stop_id,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url
1000a,BABADAĞI,,37.866175,32.5275417,,
1000d,BABADAĞI,,37.8661833,32.5274333,,
1001a,TAŞKIN PAŞA,,37.863103,32.528414,,
1001d,TAŞKIN PAŞA,,37.863067,32.52823719,,
1002a,TÜTÜNCÜ,,37.8623417,32.52647,,
1002d,TÜTÜNCÜ,,37.8625083,32.52643,,
1003a,ÇAYIR CAMİ,,37.861663,32.530603,,
1003d,ÇAYIR CAMİ,,37.86186,32.530716,,
1004a,ŞİRİNELİ,,37.861214,32.533907,,
1004d,ŞİRİNELİ,,37.86139,32.533929,,
1005a,AKGÖL,,37.860929,32.536343,,
1005d,AKGÖL,,37.8610267,32.53664,,
1006a,CEMİL ÇİÇEK,,37.86055,32.54037,,
1006d,CEMİL ÇİÇEK,,37.86075,32.54038,,
1007a,GUFRAN,,37.870287,32.535682,,
1007d,GUFRAN,,37.870245,32.535339,,
1008a,ADALET SARAYI,,37.8607083,32.54321,,
1008d,ADALET SARAYI,,37.8607167,32.54282,,
1009a,YENİCELER,,37.866588,32.543497,,
1009d,YENİCELER,,37.866579,32.543247,,
100a,BABİL,,37.866743,32.475161,,
100d,BABİL,,37.866737,32.475065,,
1010a,AKYOKUŞ KASRI,,37.879772,32.424767,,
1011a,ÖZBAŞAK,,37.8670167,32.5373,,
1011d,ÖZBAŞAK,,37.8669333,32.53732,,
1012a,ÇİFTELER,,37.866925,32.53371,,
1012d,ÇİFTELER,,37.86685,32.53368,,
1013a,ADALET KONUTLARI,,37.8668084,32.53018,,
1013d,ADALET KONUTLARI,,37.8667583,32.53008,,
1014a,GAZİLER DERNEĞİ,,37.870606,32.510153,,
1014d,GAZİLER DERNEĞİ,,37.872233,32.507606,,
1015d,NAMIK PAŞA CAMİ,,37.871418,32.511983,,
1016a,MEVLANA KÜLTÜR MERKEZİ,,37.8704,32.51578,,
1016d,MEVLANA KÜLTÜR MERKEZİ,,37.8706,32.51588,,
1017a,ADİLE SULTAN,,37.8703167,32.51942,,
1017d,ADİLE SULTAN,,37.8705167,32.51942,,
1018a,HACI KALFA,,37.8700833,32.52402,,
1018d,HACI KALFA,,37.8702833,32.52397,,
1019a,ZELİHA SEYMEN İLKOKULU,,37.8696334,32.52813,,
1019d,ZELİHA SEYMEN İLKOKULU,,37.8698333,32.52809,,
101a,HAVZAN,,37.8674493,32.472535,,
101d,HAVZAN,,37.8674833,32.4725333,,
1020a,SPOR VE KONGRE MERKEZİ,,37.8688333,32.53452,,
1020d,SPOR VE KONGRE MERKEZİ,,37.86905,32.53408,,
1021a,NEFER,,37.8687167,32.53845,,
1021d,NEFER,,37.8689167,32.53847,,
1022a,AKRABA,,37.868767,32.544158,,
1022d,AKRABA,,37.868993,32.544142,,
1023a,İNEBAHTI,,37.868523,32.544614,,
1024a,TİFTİKCİ (E),,37.8689167,32.5518,,
1024d,TİFTİKCİ (E),,37.86915,32.55163,,
1025a,HOBİ BAHÇESİ,,37.868525,32.55476,,
1025d,HOBİ BAHÇESİ,,37.8687334,32.55482,,
1026a,ULUYATIR,,37.86805,32.55789,,
1026d,ULUYATIR,,37.868225,32.55839,,
1027a,İŞBİTİREN,,37.86666884,32.566456,,
1027d,İŞBİTİREN,,37.867094,32.566356,,
