route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1-A,P,1-A_P_00:10_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,C,1-A_C_00:10_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,H,1-A_H_00:10_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,C,1-A_C_06:00_1_MERAM,MERAM,1,,1-A
1-A,H,1-A_H_06:00_1_MERAM,MERAM,1,,1-A
1-A,C,1-A_C_06:35_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,H,1-A_H_06:35_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,C,1-A_C_07:00_1_MERAM,MERAM,1,,1-A
1-A,H,1-A_H_07:00_1_MERAM,MERAM,1,,1-A
1-A,P,1-A_P_07:30_1_MERAM,MERAM,1,,1-A
1-A,C,1-A_C_07:40_1_MERAM,MERAM,1,,1-A
1-A,C,1-A_C_07:40_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,H,1-A_H_07:40_1_MERAM,MERAM,1,,1-A
1-A,H,1-A_H_07:40_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,P,1-A_P_08:10_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,C,1-A_C_08:20_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,H,1-A_H_08:20_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,P,1-A_P_08:30_1_MERAM,MERAM,1,,1-A
1-A,C,1-A_C_08:30_1_MERAM,MERAM,1,,1-A
1-A,H,1-A_H_08:30_1_MERAM,MERAM,1,,1-A
1-A,P,1-A_P_09:10_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,C,1-A_C_09:10_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,H,1-A_H_09:10_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,P,1-A_P_09:30_1_MERAM,MERAM,1,,1-A
1-A,C,1-A_C_09:30_1_MERAM,MERAM,1,,1-A
1-A,H,1-A_H_09:30_1_MERAM,MERAM,1,,1-A
1-A,P,1-A_P_10:10_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,C,1-A_C_10:10_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,H,1-A_H_10:10_0_ALAADDIN,ALAADDİN,0,,1-A
1-A,P,1-A_P_10:30_1_MERAM,MERAM,1,,1-A
1-A,C,1-A_C_10:30_1_MERAM,MERAM,1,,1-A
1-A,H,1-A_H_10:30_1_MERAM,MERAM,1,,1-A
